,name,rating,reviews,salaries,jobs,ctypes,rated_for
0,TCS,3.8,67.4k,737.9k,398,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +303 more,"Job Security, Work Life Balance, Company Culture"
1,Accenture,4.0,43.1k,513.7k,5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +156 more,"Company Culture, Job Security, Skill Development / Learning"
2,Cognizant,3.9,38.8k,497k,493,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +130 more,Skill Development / Learning
3,Wipro,3.8,35.8k,370.8k,339,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +258 more,Job Security
4,ICICI Bank,4.0,31.2k,136k,222,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1225 more,"Job Security, Skill Development / Learning, Company Culture"
5,HDFC Bank,3.9,30.9k,123.3k,451,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1461 more,"Job Security, Skill Development / Learning"
6,Infosys,3.9,29.4k,413.5k,387,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +154 more,"Job Security, Company Culture, Skill Development / Learning"
7,Capgemini,3.8,27.3k,336.8k,477,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +104 more,"Job Security, Work Life Balance, Skill Development / Learning"
8,Tech Mahindra,3.7,25.6k,236.3k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +243 more,
9,HCLTech,3.7,25.1k,253.4k,635,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more,Job Security
10,Genpact,3.9,24.5k,176.6k,648,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +89 more,"Job Security, Skill Development / Learning, Work Life Balance"
11,Axis Bank,3.8,20.5k,92.3k,314,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1247 more,Job Security
12,Concentrix Corporation,3.9,20.3k,100.6k,116,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +97 more,"Job Security, Company Culture"
13,Amazon,4.2,19.4k,117.1k,683,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +411 more,"Company Culture, Salary & Benefits, Work Life Balance"
14,Reliance Jio,3.9,18.7k,64.9k,177,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more,"Job Security, Skill Development / Learning"
15,IBM,4.1,18.7k,196.7k,1.3k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more,"Work Life Balance, Job Security, Skill Development / Learning"
16,Larsen & Toubro Limited,4.0,17.4k,76.8k,197,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +601 more,"Job Security, Skill Development / Learning"
17,Reliance Retail,3.9,16.9k,55.4k,268,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +935 more,"Skill Development / Learning, Job Security"
18,HDB Financial Services,4.0,16.4k,49.1k,100,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +910 more,"Skill Development / Learning, Job Security, Company Culture"
19,Teleperformance,3.6,16k,74.5k,266,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +142 more,
20,Vodafone Idea,4.2,14.7k,61.7k,361,5k-10k Employees | Public | 5 years old | Mumbai +614 more,"Company Culture, Work Life Balance, Skill Development / Learning"
21,BYJU'S,3.1,13.6k,51.1k,884,EdTech | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +295 more,"Job Security, Work Life Balance, Company Culture"
22,Deloitte,4.0,13.5k,139k,300,Accounting & Auditing | 1 Lakh+ Employees | 178 years old | London +151 more,"Job Security, Skill Development / Learning, Salary & Benefits"
23,Kotak Mahindra Bank,3.8,13.1k,74.8k,241,Banking | 50k-1 Lakh Employees | Public | 20 years old | Mumbai +536 more,Job Security
24,Reliance Industries,4.0,12.4k,63.3k,37,Oil & Gas | Public | 46 years old | Navi Mumbai +614 more,"Job Security, Skill Development / Learning, Work Life Balance"
25,Bharti Airtel,4.0,11.4k,44.2k,295,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +616 more,"Skill Development / Learning, Job Security, Company Culture"
26,Tata Motors,4.2,10.5k,41.9k,18,Automobile | 10k-50k Employees | Public | 78 years old | Pune +435 more,"Job Security, Skill Development / Learning, Company Culture"
27,iEnergizer,4.5,9.2k,17.9k,100,BPO | 10k-50k Employees | 23 years old | Noida +24 more,"Skill Development / Learning, Company Culture, Job Security"
28,Flipkart,4.1,9.1k,44.5k,398,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +508 more,"Skill Development / Learning, Company Culture, Job Security"
29,WNS,3.5,9k,52.1k,227,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more,Job Security
30,IndusInd Bank,3.7,8.5k,44.3k,250,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +646 more,
31,Mahindra & Mahindra,4.1,8.4k,37.6k,94,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +462 more,"Job Security, Skill Development / Learning, Company Culture"
